strategy,algorithm,top_k_classes,precision@1,recall@1,f1@1,hit@1,precision@3,recall@3,f1@3,hit@3,precision@5,recall@5,f1@5,hit@5,mrr,rank
hybrid_top1,ann,1,0.7615894039735099,0.0243852109009094,0.046312305206157,0.7615894039735099,0.7615894039735099,0.0731556327027282,0.1268317550562437,0.7615894039735099,0.7615894039735099,0.1219260545045472,0.195316572195285,0.7615894039735099,0.7615894039735099,1
hybrid_top2,ann,2,0.7019867549668874,0.0229615698194079,0.0435794091641158,0.7019867549668874,0.6909492273730686,0.0681008000355366,0.1180363983560679,0.7947019867549668,0.6821192052980128,0.1093428936950219,0.1757264140341849,0.8344370860927153,0.7547461368653423,2
cosine_only,ann,0,0.6556291390728477,0.0216949283891135,0.0411456990031415,0.6556291390728477,0.6291390728476822,0.0628399836239392,0.1086958533522709,0.7880794701986755,0.6092715231788076,0.0987832127103273,0.1586502022995963,0.8543046357615894,0.7298013245033113,3
