algorithm,train_accuracy,test_accuracy,train_precision_macro,test_precision_macro,train_recall_macro,test_recall_macro,train_f1_macro,test_f1_macro,train_precision_weighted,test_precision_weighted,train_recall_weighted,test_recall_weighted,train_f1_weighted,test_f1_weighted,train_prediction_time_seconds,test_prediction_time_seconds,rank
ann,0.965,0.7615894039735099,0.9755690067964164,0.6670510045510045,0.952935414140732,0.6726227551126337,0.9620823084419696,0.6537860514859214,0.966416641566265,0.734816710147836,0.965,0.7615894039735099,0.9646899852473544,0.7323387549615427,0.0902531147003173,0.0324559211730957,1
svm,0.9983333333333332,0.7483443708609272,0.996153846153846,0.6666173570019723,0.9974358974358974,0.6663669776017953,0.9966494485550746,0.6522208392358579,0.9985,0.733701655224834,0.9983333333333332,0.7483443708609272,0.998348457350272,0.7286627665955302,0.3720881938934326,0.0833196640014648,2
logistic_regression,0.9983333333333332,0.7350993377483444,0.996153846153846,0.6847505611099776,0.9974358974358974,0.6497258926408723,0.9966494485550746,0.6463089981258386,0.9985,0.7391427715417211,0.9983333333333332,0.7350993377483444,0.998348457350272,0.7203750334679688,0.0032720565795898,0.0008530616760253,3
knn,0.7516666666666667,0.6754966887417219,0.755961808492068,0.6068943236250928,0.6904603759103265,0.5858884143297098,0.691987213305757,0.5661484047353612,0.7622089408425125,0.6752598836042545,0.7516666666666667,0.6754966887417219,0.7407297252539361,0.655122316337404,0.0095040798187255,0.0027940273284912,4
random_forest,0.9983333333333332,0.6688741721854304,0.997596153846154,0.6935435532209726,0.9957264957264956,0.5693727662351145,0.996496861772004,0.5860307153164296,0.9984375,0.728800178672001,0.9983333333333332,0.6688741721854304,0.9983111954459204,0.6500517951511329,0.0354256629943847,0.0102012157440185,5
decision_tree,0.9983333333333332,0.4701986754966887,0.997596153846154,0.4196366667520513,0.9957264957264956,0.4179476057006421,0.996496861772004,0.3976558918067348,0.9984375,0.466559213413518,0.9983333333333332,0.4701986754966887,0.9983111954459204,0.4522214700536592,0.0048987865447998,0.0001540184020996,6
