rank,strategy,algorithm,top_k_classes,precision@5,recall@5,f1@5,hit@5,mrr
1,hybrid_top1,ann,1,0.7615894039735099,0.1219260545045472,0.195316572195285,0.7615894039735099,0.7615894039735099
2,hybrid_top2,ann,2,0.6821192052980128,0.1093428936950219,0.1757264140341849,0.8344370860927153,0.7547461368653423
3,cosine_only,ann,0,0.6092715231788076,0.0987832127103273,0.1586502022995963,0.8543046357615894,0.7298013245033113
