strategy,algorithm,top_k_classes,precision@1,recall@1,f1@1,hit@1,precision@3,recall@3,f1@3,hit@3,precision@5,recall@5,f1@5,hit@5,mrr
hybrid_top1,ann,1,0.7615894039735099,0.02438521090090945,0.046312305206157055,0.7615894039735099,0.7615894039735099,0.07315563270272829,0.12683175505624372,0.7615894039735099,0.7615894039735099,0.12192605450454722,0.19531657219528506,0.7615894039735099,0.7615894039735099
hybrid_top2,ann,2,0.7019867549668874,0.022961569819407987,0.043579409164115894,0.7019867549668874,0.6909492273730686,0.06810080003553667,0.11803639835606797,0.7947019867549668,0.6821192052980128,0.10934289369502198,0.17572641403418496,0.8344370860927153,0.7547461368653423
cosine_only,ann,0,0.6556291390728477,0.021694928389113598,0.041145699003141585,0.6556291390728477,0.6291390728476822,0.06283998362393929,0.10869585335227094,0.7880794701986755,0.6092715231788076,0.09878321271032736,0.1586502022995963,0.8543046357615894,0.7298013245033113
