algorithm,train_accuracy,test_accuracy,train_precision_macro,test_precision_macro,train_recall_macro,test_recall_macro,train_f1_macro,test_f1_macro,train_precision_weighted,test_precision_weighted,train_recall_weighted,test_recall_weighted,train_f1_weighted,test_f1_weighted,train_prediction_time_seconds,test_prediction_time_seconds
svm,0.9983333333333333,0.7483443708609272,0.9961538461538461,0.6666173570019723,0.9974358974358974,0.6663669776017953,0.9966494485550746,0.6522208392358579,0.9985,0.733701655224834,0.9983333333333333,0.7483443708609272,0.9983484573502721,0.7286627665955302,0.3741910457611084,0.08269119262695312
logistic_regression,0.9983333333333333,0.7350993377483444,0.9961538461538461,0.6847505611099776,0.9974358974358974,0.6497258926408723,0.9966494485550746,0.6463089981258386,0.9985,0.7391427715417211,0.9983333333333333,0.7350993377483444,0.9983484573502721,0.7203750334679688,0.003858804702758789,0.0008749961853027344
knn,0.7516666666666667,0.6754966887417219,0.755961808492068,0.6068943236250928,0.6904603759103265,0.5858884143297098,0.691987213305757,0.5661484047353612,0.7622089408425125,0.6752598836042545,0.7516666666666667,0.6754966887417219,0.7407297252539361,0.655122316337404,0.01051783561706543,0.003057718276977539
random_forest,0.9983333333333333,0.6688741721854304,0.9975961538461539,0.6935435532209726,0.9957264957264957,0.5693727662351145,0.9964968617720041,0.5860307153164296,0.9984375,0.728800178672001,0.9983333333333333,0.6688741721854304,0.9983111954459203,0.6500517951511329,0.0340728759765625,0.00956106185913086
decision_tree,0.9983333333333333,0.47019867549668876,0.9975961538461539,0.41963666675205136,0.9957264957264957,0.4179476057006421,0.9964968617720041,0.3976558918067348,0.9984375,0.466559213413518,0.9983333333333333,0.47019867549668876,0.9983111954459203,0.4522214700536592,0.004183053970336914,0.00013208389282226562
