rank,algorithm,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_prediction_time_seconds
1,svm,0.7483443708609272,0.6666173570019723,0.6663669776017953,0.6522208392358579,0.733701655224834,0.7483443708609272,0.7286627665955302,0.0832951068878173
2,logistic_regression,0.7350993377483444,0.6847505611099776,0.6497258926408723,0.6463089981258386,0.7391427715417211,0.7350993377483444,0.7203750334679688,0.0007970333099365
3,knn,0.6754966887417219,0.6068943236250928,0.5858884143297098,0.5661484047353612,0.6752598836042545,0.6754966887417219,0.655122316337404,0.0028421878814697
4,random_forest,0.6688741721854304,0.6935435532209726,0.5693727662351145,0.5860307153164296,0.728800178672001,0.6688741721854304,0.6500517951511329,0.0096328258514404
5,decision_tree,0.4701986754966887,0.4196366667520513,0.4179476057006421,0.3976558918067348,0.466559213413518,0.4701986754966887,0.4522214700536592,0.0001411437988281
