algorithm,best_cv_score,best_params,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
ann,0.6172290150299078,"{'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (100, 50)}",0.7483443708609272,0.7274826669057438,0.6509558536380399,0.6624473565650036,0.751325661093873,0.7483443708609272,0.7277222106984474
logistic_regression,0.6483551693980711,"{'C': 1, 'class_weight': 'balanced', 'solver': 'lbfgs'}",0.7086092715231788,0.6920752858252859,0.6667405075805887,0.6575497171790624,0.7118735844729223,0.7086092715231788,0.6888613037583603
knn,0.6125544666546646,"{'metric': 'minkowski', 'n_neighbors': 9, 'weights': 'distance'}",0.6688741721854304,0.5915617576834533,0.5832625819973998,0.554452857084436,0.6547666452697926,0.6688741721854304,0.6269175598035828
svm,0.47216763614695106,"{'C': 10, 'class_weight': None, 'kernel': 'linear'}",0.6026490066225165,0.6167245035666089,0.45874115762779727,0.4992541692428774,0.6505717937227173,0.6026490066225165,0.5799865836906821
random_forest,0.487182963520077,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.5894039735099338,0.5969870674197597,0.46829784026140303,0.4925750120309041,0.6021792363265873,0.5894039735099338,0.5552687376077197
decision_tree,0.4008434558773848,"{'criterion': 'gini', 'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.5165562913907285,0.5486380165727992,0.4381413963903842,0.45523323295062423,0.5708483689263995,0.5165562913907285,0.5046141664267204
